Pincode,Village/Locality name,Sub-distname,Districtname,StateName
560001,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560001,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560001,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560001,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560001,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560001,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560001,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560001,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560002,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560002,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560003,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560003,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560003,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560003,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560004,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560004,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560004,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560004,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560005,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560006,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560006,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560007,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560007,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560008,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560008,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560009,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560009,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560010,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560010,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560010,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560011,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560011,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560012,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560013,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560013,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560015,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560016,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560016,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560016,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560017,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560017,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560018,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560020,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560021,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560021,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560022,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560022,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560023,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560024,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560024,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560024,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560025,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560025,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560025,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
