Pincode,Village/Locality name,Sub-distname,Districtname,StateName
600001,Parrys,Fort - Tondiarpet,CHENNAI,TAMIL NADU
600002,Chennai,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
600003,Parrys,Fort - Tondiarpet,CHENNAI,TAMIL NADU
600004,Mylapore,Mylapore - Triplicane,CHENNAI,TAMIL NADU
600005,Tiruvallikkeni,Mylapore - Triplicane,CHENNAI,TAMIL NADU
600006,NUNGAMBAKKAM,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
600007,Vyasarpadi,Fort - Tondiarpet,CHENNAI,TAMIL NADU
600008,Egmore,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
600009,Fort St George,Fort - Tondiarpet,CHENNAI,TAMIL NADU
600010,Kilpauk,Perambur - Purasawakkam,CHENNAI,TAMIL NADU
600011,Perambur,Perambur - Purasawakkam,CHENNAI,TAMIL NADU
600012,Perambur Barracks,Perambur - Purasawakkam,CHENNAI,TAMIL NADU
600013,Royapuram,Fort - Tondiarpet,CHENNAI,TAMIL NADU
600014,Royapettah,Mylapore - Triplicane,CHENNAI,TAMIL NADU
600015,Saidapet,Mambalam - Guindy,CHENNAI,TAMIL NADU
600016,Chennai,Kancheepuram,KANCHIPURAM,TAMIL NADU
600016,St.Thomas Mount,Alandur,KANCHIPURAM,TAMIL NADU
600017,Thyagaraya Nagar,Mambalam - Guindy,CHENNAI,TAMIL NADU
600018,Teynampet,Mylapore - Triplicane,CHENNAI,TAMIL NADU
600019,Tiruvottiyur,Ambattur,TIRUVALLUR,TAMIL NADU
600019,Tiruvottiyur,Madhavaram,TIRUVALLUR,TAMIL NADU
600020,Besant Nagar,Mylapore - Triplicane,CHENNAI,TAMIL NADU
600021,Washermanpet,Fort - Tondiarpet,CHENNAI,TAMIL NADU
600022,Raj Bhavan,Mambalam - Guindy,CHENNAI,TAMIL NADU
600023,Ayanavaram,Perambur - Purasawakkam,CHENNAI,TAMIL NADU
600024,Kodambakkam,Mambalam - Guindy,CHENNAI,TAMIL NADU
600025,"Engineering College, Guindy",Mambalam - Guindy,CHENNAI,TAMIL NADU
600026,Vadapalani,Mambalam - Guindy,CHENNAI,TAMIL NADU
600028,Raja Annamalaipuram,Mylapore - Triplicane,CHENNAI,TAMIL NADU
600030,Aminjikarai,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
600030,Shenoy Nagar,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
600031,Chetpet,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
600032,Guindy,Mambalam - Guindy,CHENNAI,TAMIL NADU
600033,West Mambalam,Mambalam - Guindy,CHENNAI,TAMIL NADU
